Dispenser  0 | iteration:  27 | t =  1050.370124578476 s |  mass :  68.86200000000001
Dispenser  1 | iteration:  27 | t =  1063.3617281913757 s |  mass :  27.207000000000004
Dispenser  2 | iteration:  27 | t =  1076.7693128585815 s |  mass :  40.855000000000004
Dispenser  0 | iteration:  28 | t =  1085.15878200531 s |  mass :  70.912
Dispenser  1 | iteration:  28 | t =  1099.1730964183807 s |  mass :  28.050000000000004
Dispenser  2 | iteration:  28 | t =  1112.9641606807709 s |  mass :  42.039
Dispenser  0 | iteration:  29 | t =  1121.561419725418 s |  mass :  73.539
Dispenser  1 | iteration:  29 | t =  1141.967404127121 s |  mass :  29.066000000000003
Dispenser  2 | iteration:  29 | t =  1157.7715001106262 s |  mass :  43.754000000000005
Dispenser  0 | iteration:  30 | t =  1166.1770038604736 s |  mass :  75.715
Dispenser  1 | iteration:  30 | t =  1182.7644424438477 s |  mass :  30.182000000000002
Dispenser  2 | iteration:  30 | t =  1196.9708025455475 s |  mass :  45.107000000000006
